a,b,c,d
-260.4730030074042,94.2617269124669,2.9516311262000485,0.03148004353916851
-260.4730030074042,94.2617269124669,2.9516311262000485,0.03148004353916851
-260.4730030074042,94.2617269124669,2.9516311262000485,0.03148004353916851
-260.4730030074042,94.2617269124669,2.9516311262000485,0.03148004353916851
92.46125035191108,-62.0220748919756,9.399561530298303,2.30849132121862
37.26272147222729,-20.414512233615646,-2.9659265385403826,2.6349855856316147
-15.247807704217925,13.121937091388922,-5.153699081208398,0.9139950027942282
98.65639686800249,-2.8882609980398954,-1.5719124485362386,0.06388786274808848
427.66205070354766,41.5071175925612,4.220916040641953,0.09608046244126303
427.66205070354766,233.95504040915785,45.54023974089985,3.1064874354946626
427.66205070354766,233.95504040915785,45.54023974089985,3.1064874354946626
427.66205070354766,233.95504040915785,45.54023974089985,3.1064874354946626
