a,b,c,d
36.462740419716575,-33.87701366553128,10.962601505483061,0.005551383847591402
36.462740419716575,-33.87701366553128,10.962601505483061,0.005551383847591402
36.462740419716575,-33.87701366553128,10.962601505483061,0.005551383847591402
36.462740419716575,-33.87701366553128,10.962601505483061,0.005551383847591402
-1.8221384450674993,4.408863775171125,0.6487490438570087,1.2558677322344296
30.918558017918105,2.495618407850248,3.065317807914492,1.9448915242105766
-533.2331933739179,11.771185813225657,4.491998230022084,2.3072980470984463
298.527880603645,-148.19877219894965,-9.150760408550312,2.340976534858994
2194.129770072916,-103.41959010840293,-21.731678523917928,1.5502575690095612
-996.4898814679972,225.69987540253467,-15.617664259211331,0.4793908888017714
-107.11991858192819,76.22639318233499,-0.5213508299678375,0.13819612916404178
-1610.4852759207952,11.954442033178026,17.11481621313476,2.2260223418084464
1517.2198631517713,-471.19114074306094,-28.808853657853568,2.446563107532905
1517.2198631517713,-243.60816127029616,-64.54881875852129,0.017795055676557217
1517.2198631517713,-243.60816127029616,-64.54881875852129,0.017795055676557217
1517.2198631517713,-243.60816127029616,-64.54881875852129,0.017795055676557217
