x,y
0.0,0.0
0.05,0.09248754
0.1,0.1836872
0.15,0.2731147
0.2,0.3554983
0.25,0.4202439
0.3,0.4748042
0.35,0.5201044
0.4,0.5725663000000001
0.45,0.6424269
0.5,0.7139291
0.55,0.7549804
0.6,0.8775847999999999
0.65,0.99397251
0.7,1.004585
0.75,0.9357668
0.8,0.7925726
0.85,0.600068
0.9,0.3589058
0.95,0.1580595
1.0,0.04808368
1.05,0.00163048
1.1,0.002382434
1.15,2.502671e-14
1.2,5.877635e-14
1.25,5.877635e-14
