v0,v1,i0,i1
0.0,0.02500000000000005,0.0,0.06427412983895936
0.02500000000000005,0.0500000000000001,0.06427412983895936,0.171365306441169
0.0500000000000001,0.07500000000000015,0.171365306441169,0.15914254740666392
0.07500000000000015,0.1000000000000002,0.15914254740666392,0.1911323075855229
0.1000000000000002,0.12500000000000025,0.1911323075855229,0.2389170740706577
0.12500000000000025,0.1500000000000003,0.2389170740706577,0.3322362574787135
0.1500000000000003,0.17500000000000035,0.3322362574787135,0.38979515791261815
0.17500000000000035,0.2000000000000004,0.38979515791261815,0.4336397120940763
0.2000000000000004,0.22500000000000045,0.4336397120940763,0.5117890370348722
0.22500000000000045,0.2500000000000005,0.5117890370348722,0.5956638759531336
0.2500000000000005,0.2750000000000006,0.5956638759531336,0.6961982426450376
0.2750000000000006,0.3000000000000006,0.6961982426450376,0.6817699766471436
0.3000000000000006,0.3250000000000007,0.6817699766471436,0.7533911872877169
0.3250000000000007,0.3500000000000007,0.7533911872877169,0.9409109714587361
0.3500000000000007,0.3750000000000008,0.9409109714587361,0.878891374055771
0.3750000000000008,0.4000000000000008,0.878891374055771,0.8710147852715352
0.4000000000000008,0.4250000000000008,0.8710147852715352,1.0
0.4250000000000008,0.4500000000000009,1.0,0.6103571790626162
0.4500000000000009,0.4750000000000009,0.6103571790626162,0.5478107039557383
0.4750000000000009,0.500000000000001,0.5478107039557383,0.5017408243914513
0.500000000000001,0.525000000000001,0.5017408243914513,0.4630601100881235
0.525000000000001,0.5500000000000012,0.4630601100881235,0.39640117595377283
0.5500000000000012,0.5750000000000011,0.39640117595377283,0.36376060445266006
0.5750000000000011,0.6000000000000012,0.36376060445266006,0.34169421000766254
0.6000000000000012,0.6250000000000012,0.34169421000766254,0.31830628316959547
0.6250000000000012,0.6500000000000014,0.31830628316959547,0.28215903870619513
0.6500000000000014,0.6750000000000014,0.28215903870619513,0.28215903870619513
0.6750000000000014,0.7000000000000014,0.28215903870619513,0.2656651819595759
0.7000000000000014,0.7250000000000014,0.2656651819595759,0.25219203591791706
0.7250000000000014,0.7500000000000016,0.25219203591791706,0.23655986943588744
0.7500000000000016,0.7750000000000016,0.23655986943588744,0.21734221295941974
0.7750000000000016,0.8000000000000016,0.21734221295941974,0.21143385808002443
0.8000000000000016,0.8250000000000016,0.21143385808002443,0.20500921967485006
0.8250000000000016,0.8500000000000016,0.20500921967485006,0.17508797277661536
0.8500000000000016,0.8750000000000018,0.17508797277661536,0.16076126476221095
0.8750000000000018,0.9000000000000008,0.16076126476221095,0.15574227287132367
0.9000000000000008,0.9250000000000009,0.15574227287132367,0.12625310404852866
0.9250000000000009,0.9500000000000008,0.12625310404852866,0.09106329016814604
0.9500000000000008,0.975,0.09106329016814604,0.09878532267948684
0.975,1.0,0.09878532267948684,0.07691884768220389
