v0,v1,i0,i1
0.0,0.03571428571428572,0.0,0.14986230201844136
0.03571428571428572,0.07142857142857144,0.14986230201844136,0.2685654202198478
0.07142857142857144,0.10714285714285715,0.2685654202198478,0.34097250990722
0.10714285714285715,0.14285714285714288,0.34097250990722,0.36298301768318264
0.14285714285714288,0.17857142857142858,0.36298301768318264,0.38756217252762426
0.17857142857142858,0.2142857142857143,0.38756217252762426,0.3858132648621327
0.2142857142857143,0.25,0.3858132648621327,0.4088197055321499
0.25,0.28571428571428575,0.4088197055321499,0.42683378016784307
0.28571428571428575,0.32142857142857145,0.42683378016784307,0.4335278301038793
0.32142857142857145,0.35714285714285715,0.4335278301038793,0.48599245461959145
0.35714285714285715,0.3928571428571429,0.48599245461959145,0.5172282060701753
0.3928571428571429,0.4285714285714286,0.5172282060701753,0.5583688977126763
0.4285714285714286,0.46428571428571436,0.5583688977126763,0.5763295606431291
0.46428571428571436,0.5,0.5763295606431291,0.5985358027779298
0.5,0.5357142857142857,0.5985358027779298,0.6853737907459662
0.5357142857142857,0.5714285714285715,0.6853737907459662,0.7698808788700688
0.5714285714285715,0.6071428571428572,0.7698808788700688,0.8247382826443224
0.6071428571428572,0.6428571428571429,0.8247382826443224,0.7382484478037368
0.6428571428571429,0.6785714285714286,0.7382484478037368,0.5260916180099059
0.6785714285714286,0.7142857142857143,0.5260916180099059,0.14877237755040892
0.7142857142857143,0.7500000000000001,0.14877237755040892,0.032569611084622384
0.7500000000000001,0.7857142857142858,0.032569611084622384,0.10021729444961192
0.7857142857142858,0.8214285714285714,0.10021729444961192,0.2517147111468926
0.8214285714285714,0.8571428571428572,0.2517147111468926,0.4731632235657655
0.8571428571428572,0.8928571428571429,0.4731632235657655,0.6747012201317837
0.8928571428571429,0.9285714285714287,0.6747012201317837,1.0
0.9285714285714287,0.9642857142857144,1.0,0.7702505269520676
0.9642857142857144,1.0,0.7702505269520676,0.011626291977040784
