v0,v1,i0,i1
0.0,0.030303030303030307,0.0,0.07498173184193026
0.030303030303030307,0.060606060606060615,0.07498173184193026,0.15838688226403258
0.060606060606060615,0.09090909090909091,0.15838688226403258,0.25320396441287474
0.09090909090909091,0.12121212121212123,0.25320396441287474,0.35667628412995284
0.12121212121212123,0.15151515151515152,0.35667628412995284,0.4682229927454696
0.15151515151515152,0.18181818181818182,0.4682229927454696,0.5900505481817104
0.18181818181818182,0.21212121212121213,0.5900505481817104,0.7152358835248266
0.21212121212121213,0.24242424242424246,0.7152358835248266,0.8162983472710076
0.24242424242424246,0.27272727272727276,0.8162983472710076,0.8912344343993355
0.27272727272727276,0.30303030303030304,0.8912344343993355,0.9633219215842311
0.30303030303030304,0.33333333333333337,0.9633219215842311,1.0
0.33333333333333337,0.36363636363636365,1.0,0.9627076183869097
0.36363636363636365,0.393939393939394,0.9627076183869097,0.952402117257263
0.393939393939394,0.42424242424242425,0.952402117257263,0.952550727952713
0.42424242424242425,0.4545454545454546,0.952550727952713,0.8205368338799512
0.4545454545454546,0.4848484848484849,0.8205368338799512,0.7728307461147206
0.4848484848484849,0.5151515151515151,0.7728307461147206,0.741258849013588
0.5151515151515151,0.5454545454545455,0.741258849013588,0.6351768364549569
0.5454545454545455,0.5757575757575758,0.6351768364549569,0.5316896899104295
0.5757575757575758,0.6060606060606061,0.5316896899104295,0.5105174597021896
0.6060606060606061,0.6363636363636365,0.5105174597021896,0.4674299458084593
0.6363636363636365,0.6666666666666667,0.4674299458084593,0.37057104173358146
0.6666666666666667,0.6969696969696969,0.37057104173358146,0.34665430755291604
0.6969696969696969,0.7272727272727273,0.34665430755291604,0.32378069033434664
0.7272727272727273,0.7575757575757576,0.32378069033434664,0.2676661820268718
0.7575757575757576,0.787878787878788,0.2676661820268718,0.24566289615536596
0.787878787878788,0.8181818181818182,0.24566289615536596,0.2360781568986523
0.8181818181818182,0.8484848484848485,0.2360781568986523,0.2193022693606521
0.8484848484848485,0.8787878787878788,0.2193022693606521,0.18199132853167838
0.8787878787878788,0.9090909090909092,0.18199132853167838,0.17272421895491755
0.9090909090909092,0.9393939393939394,0.17272421895491755,0.1569771009409043
0.9393939393939394,0.9696969696969698,0.1569771009409043,0.12062517848692397
0.9696969696969698,1.0,0.12062517848692397,0.10955118200290237
