v0,v1,i0,i1
0.0,0.020833333333333336,0.0,0.08212063067300693
0.020833333333333336,0.04166666666666667,0.08212063067300693,0.17428071733180725
0.04166666666666667,0.0625,0.17428071733180725,0.2779251709185371
0.0625,0.08333333333333334,0.2779251709185371,0.39204973445173263
0.08333333333333334,0.10416666666666667,0.39204973445173263,0.5241338248150457
0.10416666666666667,0.125,0.5241338248150457,0.6481194125054197
0.125,0.14583333333333334,0.6481194125054197,0.7680834430643473
0.14583333333333334,0.16666666666666669,0.7680834430643473,0.8758148441882507
0.16666666666666669,0.1875,0.8758148441882507,0.9489563247761228
0.1875,0.20833333333333334,0.9489563247761228,0.9924659495739009
0.20833333333333334,0.22916666666666669,0.9924659495739009,1.0
0.22916666666666669,0.25,1.0,0.9750436053986244
0.25,0.27083333333333337,0.9750436053986244,0.952168758200339
0.27083333333333337,0.2916666666666667,0.952168758200339,0.8745957330165406
0.2916666666666667,0.3125,0.8745957330165406,0.7507917853420754
0.3125,0.33333333333333337,0.7507917853420754,0.6941465207444693
0.33333333333333337,0.3541666666666667,0.6941465207444693,0.6102311923558332
0.3541666666666667,0.375,0.6102311923558332,0.48581957626450945
0.375,0.3958333333333333,0.48581957626450945,0.44974695422718775
0.3958333333333333,0.4166666666666667,0.44974695422718775,0.4008116713853755
0.4166666666666667,0.43750000000000006,0.4008116713853755,0.34177866621500425
0.43750000000000006,0.45833333333333337,0.34177866621500425,0.2854989462520116
0.45833333333333337,0.47916666666666663,0.2854989462520116,0.27127856171302106
0.47916666666666663,0.5,0.27127856171302106,0.2668517350395857
0.5,0.5208333333333334,0.2668517350395857,0.2269019242990465
0.5208333333333334,0.5416666666666667,0.2269019242990465,0.2072574386304437
0.5416666666666667,0.5625000000000001,0.2072574386304437,0.2052541615614814
0.5625000000000001,0.5833333333333334,0.2052541615614814,0.18599451683048082
0.5833333333333334,0.6041666666666666,0.18599451683048082,0.17033710027991433
0.6041666666666666,0.625,0.17033710027991433,0.15182902060175216
0.625,0.6458333333333334,0.15182902060175216,0.15097554842310518
0.6458333333333334,0.6666666666666667,0.15097554842310518,0.12215371274551479
0.6666666666666667,0.6875,0.12215371274551479,0.11526837666194717
0.6875,0.7083333333333334,0.11526837666194717,0.10861841773146245
0.7083333333333334,0.7291666666666667,0.10861841773146245,0.08486113031043459
0.7291666666666667,0.75,0.08486113031043459,0.06083062799794487
0.75,0.7708333333333334,0.06083062799794487,0.007393008133226582
0.7708333333333334,0.7916666666666666,0.007393008133226582,7.059281167893406e-15
0.7916666666666666,0.8125,7.059281167893406e-15,2.7921920269940654e-15
0.8125,0.8333333333333334,2.7921920269940654e-15,3.4760699894365716e-15
0.8333333333333334,0.8541666666666666,3.4760699894365716e-15,2.9685342877376003e-15
0.8541666666666666,0.8750000000000001,2.9685342877376003e-15,3.47606574330633e-15
0.8750000000000001,0.8958333333333334,3.47606574330633e-15,3.614892027984829e-15
0.8958333333333334,0.9166666666666667,3.614892027984829e-15,3.9995017873849364e-15
0.9166666666666667,0.9375,3.9995017873849364e-15,3.948875176509275e-15
0.9375,0.9583333333333333,3.948875176509275e-15,2.8704283920801176e-15
0.9583333333333333,0.9791666666666667,2.8704283920801176e-15,4.994572030173945e-15
0.9791666666666667,1.0,4.994572030173945e-15,3.5252505570686983e-15
