a,b,c,d
7.348176882467139,-4.751926460228704,2.219335523175642,0.008586776083810333
7.348176882467139,-4.751926460228704,2.219335523175642,0.008586776083810333
7.348176882467139,-4.751926460228704,2.219335523175642,0.008586776083810333
7.348176882467139,-4.751926460228704,2.219335523175642,0.008586776083810333
-12.717341935610563,2.963659266361788,1.593442005322221,0.5182963016530472
2.5675255100640233,-8.481948475687716,-0.0620447574755576,0.9196900049607892
23.266339957916728,-7.326561996158908,-2.433321328252551,0.7282048492329481
15.747660868211051,3.143290984903615,-3.060811979940844,0.27688290243945923
15.747660868211051,17.316185766293568,3.07703104541831,0.06672234054022966
15.747660868211051,17.316185766293568,3.07703104541831,0.06672234054022966
15.747660868211051,17.316185766293568,3.07703104541831,0.06672234054022966
