a,b,c,d
-17.14474933302322,13.148484247910027,-1.5172264448314376,0.02975841704063291
-17.14474933302322,13.148484247910027,-1.5172264448314376,0.02975841704063291
-17.14474933302322,13.148484247910027,-1.5172264448314376,0.02975841704063291
-17.14474933302322,13.148484247910027,-1.5172264448314376,0.02975841704063291
22.48098938690482,-7.425214951717836,0.772081273645439,0.4293613614601762
-62.69460936732531,6.063378680425048,0.4997140193868814,0.466616933215789
429.9500846421685,-22.149195534871346,-1.9131585087800644,0.46640574981866184
-748.8174549629938,106.83582985777916,6.555504923510714,0.48354802823411025
-0.5327284842678637,-117.80940663111889,5.458147246176743,1.4586393641999793
953.4326437992212,-117.88931590375894,-6.326788880567161,1.4369566188704856
30.555737349016244,25.12558066612427,-10.964975642448898,0.9450729655576324
-61.23419678017075,34.292301870829135,-5.023187388753564,0.13038694532300227
-61.23419678017075,-30.00360474835018,-3.522143395885929,-0.05233784851399768
-61.23419678017075,-30.00360474835018,-3.522143395885929,-0.05233784851399768
-61.23419678017075,-30.00360474835018,-3.522143395885929,-0.05233784851399768
